stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022012083194041,Kattarps station,56.144444,12.778391,0,9021012083194000,1
9022012083194042,Kattarps station,56.144433,12.778311,0,9021012083194000,2
9022012083195001,Maria station,56.075172,12.710675,0,9021012083195000,A
9022012083195002,Maria station,56.075354,12.710773,0,9021012083195000,B
9022012083195003,Maria station,56.076004,12.710528,0,9021012083195000,C
9022012083195041,Maria station,56.075708,12.710552,0,9021012083195000,1
9022012083195042,Maria station,56.075489,12.710441,0,9021012083195000,2
9022012083196001,Ödåkra station,56.105730,12.745849,0,9021012083196000,A
9022012083196041,Ödåkra station,56.104903,12.745126,0,9021012083196000,1
9022012083196042,Ödåkra station,56.104880,12.745273,0,9021012083196000,2
9022012083197001,Björka by,56.091781,12.771549,0,9021012083197000,A
9022012083197002,Björka by,56.091630,12.769086,0,9021012083197000,B
9022012083198001,Hjortshög Kroppavägen,56.098964,12.802912,0,9021012083198000,A
9022012083198002,Hjortshög Kroppavägen,56.098730,12.800680,0,9021012083198000,B
9022012083199001,Fleningevägen,56.099690,12.812100,0,9021012083199000,A
9022012083199002,Fleningevägen,56.099798,12.811352,0,9021012083199000,B
9022012083200001,Dalhem Rosendalsvägen,56.101134,12.829786,0,9021012083200000,A
9022012083200002,Dalhem Rosendalsvägen,56.101234,12.829103,0,9021012083200000,B
9022012083202001,Flädrevägen,56.098583,12.786190,0,9021012083202000,A
9022012083202002,Flädrevägen,56.098258,12.785766,0,9021012083202000,B
9022012083203001,Fleninge gästis,56.107120,12.791342,0,9021012083203000,A
9022012083203002,Fleninge gästis,56.106961,12.791114,0,9021012083203000,B
9022012083204001,Hasslarp Folkets park,56.140104,12.814526,0,9021012083204000,A
9022012083204002,Hasslarp Folkets park,56.139390,12.813969,0,9021012083204000,B
9022012083205001,Ramlösa station,56.023223,12.727914,0,9021012083205000,A
9022012083205002,Ramlösa station,56.023284,12.727492,0,9021012083205000,B
9022012083205003,Ramlösa station,56.022461,12.730141,0,9021012083205000,C
9022012083205041,Ramlösa station,56.023612,12.727642,0,9021012083205000,1
9022012083205042,Ramlösa station,56.023812,12.727386,0,9021012083205000,2
9022012083206001,Helsingborg Lussebäckstorget,56.019177,12.727466,0,9021012083206000,A
9022012083206002,Helsingborg Lussebäckstorget,56.019979,12.727178,0,9021012083206000,B
9022012083207001,Helsingborg Rusthållsgatan,56.017017,12.729499,0,9021012083207000,A
9022012083207002,Helsingborg Rusthållsgatan,56.015777,12.730207,0,9021012083207000,B
9022012083207003,Helsingborg Rusthållsgatan,56.016497,12.731337,0,9021012083207000,C
9022012083208001,Helsingborg Torviggsgatan,56.015611,12.752439,0,9021012083208000,A
9022012083208002,Helsingborg Torviggsgatan,56.015480,12.750781,0,9021012083208000,B
